id,sector,descripcion_breve
1,Tecnologia,"Emprendimiento del sector Tecnologia enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
2,Biotecnologia,"Emprendimiento del sector Biotecnologia enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
3,Salud,"Emprendimiento del sector Salud enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
4,Movilidad,"Emprendimiento del sector Movilidad enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
5,Agroindustria,"Emprendimiento del sector Agroindustria enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
6,Logistica,"Emprendimiento del sector Logistica enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
7,Finanzas,"Emprendimiento del sector Finanzas enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
8,Ciberseguridad,"Emprendimiento del sector Ciberseguridad enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
9,Inteligencia Artificial,"Emprendimiento del sector Inteligencia Artificial enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
10,Marketing Digital,"Emprendimiento del sector Marketing Digital enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
11,Proptech,"Emprendimiento del sector Proptech enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
12,Construccion,"Emprendimiento del sector Construccion enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
13,Retail,"Emprendimiento del sector Retail enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
14,Legaltech,"Emprendimiento del sector Legaltech enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
15,Telecomunicaciones,"Emprendimiento del sector Telecomunicaciones enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
16,Turismo,"Emprendimiento del sector Turismo enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
17,Alimentos,"Emprendimiento del sector Alimentos enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
18,Industria 4.0,"Emprendimiento del sector Industria 4.0 enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
19,Educacion,"Emprendimiento del sector Educacion enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
20,Energia,"Emprendimiento del sector Energia enfocado en innovacion, crecimiento y desarrollo de soluciones para su industria."
